,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
378,785,tt0072258,Tatort,S01E36 Nachtfrost,1974,96,6.8,94
55281,148683,tt0639612,The Magnificent Seven,S01E02 Working Girls,1998,44,7.9,79
1202,1956,tt0109202,Screen One,S06E01 Bambino Mio,1994,84,6.4,19
1472,2298,tt0120279,Tatort,S01E351 Akt in der Sonne,1997,88,6.5,32
16039,34107,tt0523268,Bewitched,S06E07 To Trick-Or-Treat or Not to Trick-Or-Treat,1969,25,6.9,262
71345,194792,tt0686442,"Richard Diamond, Private Detective",S02E16 Lost Testament,1958,30,7.1,14
41028,104939,tt0595182,Half & Half,S02E18 The Big Good Help Is Hard to Fire Episode,2004,21,7.8,21
62720,166199,tt0657291,The Nanny,S05E12 One False Mole and You're Dead,1998,30,7.3,265
58855,157242,tt0648245,Millennium,S02E10 Midnight of the Century,1997,60,8.2,370
107698,336481,tt0863385,Dark Shadows,S01E382 Episode #1.382,1967,22,7.3,39
1567,2443,tt0125755,Standing Room Only,\N,1981,50,8.1,163
126383,508564,tt10151032,The Walking Dead: World Beyond,S01E05 Madman Across the Water,2020,46,5.3,1404
9351,18744,tt0507412,Alarm fأ¼r Cobra 11 - Die Autobahnpolizei,S04E07 Der tote Zeuge,1998,45,5.5,40
73921,202809,tt0694516,Saturday Night Live,"S13E13 Judge Reinhold/10,000 Maniacs",1988,90,6.3,63
138010,806911,tt10809190,Intervention,S20E04 The Heroin Hub: Chapter 4,2019,41,7.8,6
110742,353235,tt0885991,Man to Man with Dean Learner,S01E03 Glynn Nimron,2006,24,7.0,51
66165,178988,tt0670351,Party of Five,S04E11 S'Wunnerful Life,1997,44,8.5,63
2964,4765,tt0254940,The Metropolitan Opera Presents,S14E01 Aida,1989,158,8.6,97
15226,33103,tt0522263,Bette,"S01E10 Diva, Interrupted",2000,30,9.4,70
92612,267001,tt0761328,Survivor,S01E07 The Merger,2000,45,7.8,242
130515,606214,tt10366046,The Amazing Race,S32E01 One Million Miles,2020,43,7.6,135
121226,423026,tt0978487,Princess Tutu,S01E04 Giselle,2002,23,7.2,24
44593,113949,tt0604443,Homicide: Life on the Street,S05E16 Valentine's Day,1997,45,7.0,107
6496,11379,tt0491793,Murder 101,S01E01 Murder 101,2006,120,6.0,326
